,address,beds,phone,price,title
75,"2715 Murray Ave, Pittsburgh, PA 15217",Studio - 1 Bed,844-404-5887,"$890 - 1,155",Morrowfield
76,"515 S Aiken Ave, Pittsburgh, PA 15232",1 Bed,844-482-7905,"$1,180 - 1,225",Arlington
77,"8228 Ohio River Blvd, Pittsburgh, PA 15202",1-2 Bed,412-348-8305,$650 - 800,Emsworth Arms Apartments
78,"5 Grandview Ave, Pittsburgh, PA 15211",2 Bed,844-681-2898,"$1,800 - 2,200",Mountvue Apartments
79,"1000 Painters Dr, Pittsburgh, PA 15228",2 Bed,844-274-9865,$875 - 975,St. Clair Woods Apartments
80,"700 Mansfield Ave, Pittsburgh, PA 15205",Studio - 2 Bed,412-924-8122,"$795 - 3,500",Terrain Apartments
81,"401-435 Abbeyville Rd, Pittsburgh, PA 15228",1-2 Bed,844-702-2096,$795 - 910,Williamsburg South
82,"1000 Wingate Dr, Pgh, PA 15205",1-2 Bed,844-856-3848,"$1,000 - 1,250",Pleasantview Place
83,"2405-2407 Laketon Rd, Pittsburgh, PA 15221",Studio - 1 Bed,844-592-0991,$620 - 770,Douglas Plaza
84,"422-440 1st Ave, Pittsburgh, PA 15219",Studio - 2 Bed,412-329-6809,"$1,195 - 1,950",1st Ave Lofts
85,"245 Lincoln Ave, Pittsburgh, PA 15202",Studio - 2 Bed,412-587-4921,$590 - 835,Lincoln House
86,"100 White Hampton Ln, Pittsburgh, PA 15236",Studio - 3 Bed,844-808-3937,"$1,062 - 2,717",Maiden Bridge & Canongate Apartments
87,"1601 Penn Ave, Pittsburgh, PA 15221",Studio - 2 Bed,844-218-9867,$569 - 889,Ambassador Apartments
88,"1435 Parkview Blvd, Pittsburgh, PA 15217",2 Bed,844-564-8456,"$1,800",The Reserve at Summerset at Frick Park
89,"1000 Vermont Ave, Pittsburgh, PA 15234",1-3 Bed,412-253-2240,$705 - 855,Alvern Gardens
90,"195 Mount Lebanon Blvd, Pittsburgh, PA 15228",Studio - 3 Bed,844-225-6159,"$600 - 1,050",Hampshire House
91,"4500 Centre Ave, Pittsburgh, PA 15213",1-3 Bed,412-533-2310,"$964 - 1,650",One on Centre
92,"824 Perry Hwy, Pittsburgh, PA 15229",1-2 Bed,412-365-5671,$695 - 825,Perry Highway Apartments
93,"611 E Waterfront Dr, Munhall, PA 15120",1-3 Bed,412-368-9408,"$1,041 - 3,096",The Waterfront
94,"77 Southern Ave Unit 2, Pittsburgh, PA 15211",Condo for Rent,724-506-8028,"$1,350",77 Southern Ave Unit 2
95,"148 Maple Heights Rd, Pittsburgh, PA 15232",Townhome for Rent,NA,"$2,800",148 Maple Heights Rd
96,"5521 Bryant St Unit 5521, Pittsburgh, PA 15206",2 Bed,844-552-2177,"$1,850",5521 Bryant St Unit 5521
97,"111 Hyman Pl Unit 307, Pittsburgh, PA 15213",2 Bed,NA,"$1,395",111 Hyman Pl Unit 307
98,"400 Oak Hill Dr Unit 415, Pittsburgh, PA 15213",2 Bed,NA,"$1,395",400 Oak Hill Dr Unit 415
99,"562 Oak Hill Dr, Pittsburgh, PA 15213",Townhome for Rent,NA,"$2,175",562 Oak Hill Dr
100,"2418 Allequippa St Unit 308, Pittsburgh, PA 15213",Studio,NA,"$1,035",2418 Allequippa St Unit 308
101,"100 Hyman Pl Unit 112, Pittsburgh, PA 15213",2 Bed,NA,"$1,395",100 Hyman Pl Unit 112
102,"3076 Terrace St, Pittsburgh, PA 15213",Townhome for Rent,NA,"$1,525",3076 Terrace St
103,"111 Hyman Pl Unit 317, Pittsburgh, PA 15213",1 Bed,NA,"$1,095",111 Hyman Pl Unit 317
104,"340 Eckstein Pl, Pittsburgh, PA 15213",Townhome for Rent,NA,"$2,050",340 Eckstein Pl
105,"108 Keefer Dr, Pittsburgh, PA 15235",House for Rent,717-430-0875,"$1,150",108 Keefer Dr
106,"652 Carriage Cir, Pittsburgh, PA 15205",Townhome for Rent,513-401-8932,"$1,150",652 Carriage Cir
107,"602 Shady Ave Unit 2, Pittsburgh, PA 15206",2 Bed,844-633-2073,"$2,395",602 Shady Ave Unit 2
108,"602 Shady Ave Unit 1, Pittsburgh, PA 15206",2 Bed,412-265-6362,"$2,100",602 Shady Ave Unit 1
109,"1404 Milan Ave, Pittsburgh, PA 15226",House for Rent,412-215-6748,"$1,095",1404 Milan Ave
110,"239 Ingram Ave, Pittsburgh, PA 15205",Townhome for Rent,412-802-9142,$895,239 Ingram Ave
111,"2211 Wightman St, Pittsburgh, PA 15217",Townhome for Rent,724-393-0086,"$1,650",2211 Wightman St
112,"9890 Bellcrest Rd, Pittsburgh, PA 15237",Townhome for Rent,724-900-2870,$850,9890 Bellcrest Rd
113,"5627 Pocusset St, Pittsburgh, PA 15217",House for Rent,412-901-3820,"$1,850",5627 Pocusset St
114,"2313 Sarah St Unit 2, Pittsburgh, PA 15203",3 Bed,NA,"$2,995",2313 Sarah St Unit 2
115,"67 Bates St, Pittsburgh, PA 15213",House for Rent,412-489-4683,"$1,600",67 Bates St
116,"2820 W Liberty Ave Unit 1, Pittsburgh, PA 15216",1 Bed,412-329-4473,$595,2820 W Liberty Ave Unit 1
117,"343 McKee Pl Unit Two, Pittsburgh, PA 15213",3 Bed,412-626-6291,"$1,700",343 McKee Pl Unit Two
118,"6 Enfield St Unit 1, Pittsburgh, PA 15213",4 Bed,412-200-7421,"$2,000",6 Enfield St Unit 1
119,"8 Enfield St, Pittsburgh, PA 15213",Townhome for Rent,412-444-8948,"$2,300",8 Enfield St
120,"118 S Negley Ave Unit 5, Pittsburgh, PA 15206",2 Bed,844-248-6808,"$1,200",118 S Negley Ave Unit 5
121,"5413 Bossart St, Pittsburgh, PA 15206",Townhome for Rent,724-900-2045,"$1,400",5413 Bossart St
122,"957 Lilac St, Pittsburgh, PA 15217",Townhome for Rent,412-212-3422,"$1,195",957 Lilac St
123,"701 Mifflin Ave Unit 4, Pittsburgh, PA 15221",2 Bed,412-626-5007,"$1,015",701 Mifflin Ave Unit 4
124,"41 Waldorf St Unit 2, Pittsburgh, PA 15214",2 Bed,412-226-6123,"$1,300",41 Waldorf St Unit 2
125,"6824 Ricker Ct, Pittsburgh, PA 15202",Townhome for Rent,NA,"$1,300",6824 Ricker Ct
126,"118 S 26th St, Pittsburgh, PA 15203",House for Rent,888-339-7795,"$1,480",118 S 26th St
127,"112 N Fairmount St Unit 1, Pittsburgh, PA 15206",2 Bed,412-440-8108,$850,112 N Fairmount St Unit 1
128,"5515 Black St Unit 2, Pittsburgh, PA 15206",2 Bed,412-307-4924,$800,5515 Black St Unit 2
129,"202 S Braddock Ave Unit B, Pittsburgh, PA 15221",3 Bed,NA,"$1,800",202 S Braddock Ave Unit B
130,"204 S Braddock Ave Unit A, Pittsburgh, PA 15221",2 Bed,NA,"$1,500",204 S Braddock Ave Unit A
131,"200 Buchanan Pl Unit B1, Pittsburgh, PA 15228",1 Bed,844-816-5760,$785,200 Buchanan Pl Unit B1
132,"755 Chislett St Unit 2, Pittsburgh, PA 15206",5 Bed,412-330-1029,"$1,500",755 Chislett St Unit 2
133,"5443 Baywood St Unit 3, Pittsburgh, PA 15206",2 Bed,412-688-6196,"$1,150",5443 Baywood St Unit 3
134,"751 Chislett St Unit 1, Pittsburgh, PA 15206",4 Bed,844-394-1484,"$1,400",751 Chislett St Unit 1
135,"5443 Baywood St Unit 2, Pittsburgh, PA 15206",1 Bed,412-943-7871,"$1,250",5443 Baywood St Unit 2
136,"2230 Tilbury Ave Unit 3 Flr, Pittsburgh, PA 15217",1 Bed,NA,$695,2230 Tilbury Ave Unit 3 Flr
137,"2230 Tilbury Ave Unit 3, Pittsburgh, PA 15217",1 Bed,412-983-0770,$700,2230 Tilbury Ave Unit 3
138,"5848 Alderson St Unit 4, Pittsburgh, PA 15217",2 Bed,412-533-1229,"$1,250",5848 Alderson St Unit 4
139,"5848 Alderson St Unit 5, Pittsburgh, PA 15217",2 Bed,412-437-2349,"$1,250",5848 Alderson St Unit 5
140,"250 37th St, Pittsburgh, PA 15201",Townhome for Rent,855-447-5928,"$1,495",250 37th St
141,"2402 Spring St Unit 2, Pittsburgh, PA 15210",3 Bed,412-510-1300,$975,2402 Spring St Unit 2
142,"2606 Larkins Way, Pittsburgh, PA 15203",House for Rent,412-433-0032,"$2,200",2606 Larkins Way
143,"1232 Sarah St Unit E, Pittsburgh, PA 15203",3 Bed,724-918-4499,"$2,450",1232 Sarah St Unit E
144,"1232 Sarah St Unit F, Pittsburgh, PA 15203",2 Bed,412-329-4796,"$1,795",1232 Sarah St Unit F
145,"1824 Carey Way Unit 2, Pittsburgh, PA 15203",1 Bed,412-481-1600,"$1,395",1824 Carey Way Unit 2
146,"2709 Sarah St Unit 2, Pittsburgh, PA 15203",2 Bed,844-364-0044,"$1,645",2709 Sarah St Unit 2
147,"2104 Carey Way Unit 1, Pittsburgh, PA 15203",1 Bed,412-253-4658,"$1,095",2104 Carey Way Unit 1
148,"3552 Beechwood Blvd, Pittsburgh, PA 15217",House for Rent,412-329-4646,"$1,850",3552 Beechwood Blvd
149,"1003 Chestnut St Unit 1, Pittsburgh, PA 15212",1 Bed,NA,$850,1003 Chestnut St Unit 1
150,"5413 Keystone St, Pittsburgh, PA 15201",Townhome for Rent,844-511-7084,"$1,750",5413 Keystone St
151,"605 McKinley St Unit 1, Pittsburgh, PA 15210",3 Bed,866-498-5609,$800,605 McKinley St Unit 1
152,"108 Maple Heights Rd, Pittsburgh, PA 15232",Townhome for Rent,215-870-1385,"$2,200",108 Maple Heights Rd
153,"5450 Covode Pl Unit 1, Pittsburgh, PA 15217",2 Bed,NA,"$1,200",5450 Covode Pl Unit 1
154,"1035 McCabe St, Pittsburgh, PA 15201",House for Rent,412-357-5680,"$1,150",1035 McCabe St
155,"1014 Fifth Ave Unit 301, Pittsburgh, PA 15219",2 Bed,412-540-4082,"$2,100",1014 Fifth Ave Unit 301
156,"5415 Bossart St, Pittsburgh, PA 15206",Townhome for Rent,412-404-6882,"$1,400",5415 Bossart St
157,"5413 Bossart St, Pittsburgh, PA 15206",Townhome for Rent,412-205-6190,"$1,400",5413 Bossart St
158,"1020 Progress St Unit M701, Pittsburgh, PA 15212",2 Bed,NA,"$2,183",1020 Progress St Unit M701
159,"14 5th St Unit 2, Sharpsburg, PA 15215",1 Bed,412-329-4769,$635,14 5th St Unit 2
160,"2418 Allequippa St Unit 111, Pittsburgh, PA 15213",1 Bed,NA,"$1,115",2418 Allequippa St Unit 111
161,"2703 Penn Ave Unit B, Pittsburgh, PA 15222",2 Bed,724-554-3468,"$1,700",2703 Penn Ave Unit B
162,"642 Carriage Cir Unit 642, Pittsburgh, PA 15205",Condo for Rent,855-809-9646,"$1,350",642 Carriage Cir Unit 642
163,"1132 Pennsbury Blvd N, Pittsburgh, PA 15205",Townhome for Rent,855-375-5878,"$1,350",1132 Pennsbury Blvd N
164,"148 Maple Heights Rd, Pittsburgh, PA 15232",Townhome for Rent,NA,"$2,800",148 Maple Heights Rd
165,"515 W Hutchinson Ave, Pittsburgh, PA 15218",2 Bed,NA,"$1,775",515 W. Hutchinson
166,"108 Maple Heights Rd, Pittsburgh, PA 15232",Townhome for Rent,NA,"$2,200",108 Maple Heights Rd
167,"58 Afton Ave Unit #2, Pittsburgh, PA 15205",Condo for Rent,NA,"$1,650",58 Afton Ave Unit #2
168,"103 Dilworth St, Pittsburgh, PA 15211",Condo for Rent,NA,"$1,540","3 br, 2 bath Apartment - 103 Dilworth St"
169,"5515 Penn Ave Unit #1, Pittsburgh, PA 15206",Condo for Rent,NA,"$2,300",5515 Penn Ave Unit #1
170,"3025 Laketon Rd, Pittsburgh, PA 15235",House for Rent,NA,"$1,100","3 br, 1 bath House - 3025 Laketon Rd"
171,"847 Flemington St, Pittsburgh, PA 15217",Condo for Rent,NA,$700,847 Flemington St
172,"327 S Pacific Ave Unit #2, Pittsburgh, PA 15224",Condo for Rent,NA,"$1,300",327 S Pacific Ave Unit #2
173,"103 N Starr Ave, Pittsburgh, PA 15202",Condo for Rent,NA,$900,"2 br, 1 bath Apartment - 103 N Starr Ave"
174,"847 Flemington St, Pittsburgh, PA 15217",Condo for Rent,NA,$600,847 Flemington St
175,"433 Flowers Ave, Pittsburgh, PA 15207",House for Rent,NA,$749,433 Flowers Ave
176,"22 Soffel St Unit 2, Pittsburgh, PA 15211",3 Bed,NA,"$1,200",22 Soffel St Unit 2
177,"5101 1/2 Lytle St, Pittsburgh, PA 15207",House for Rent,NA,$699,2 Bedroom/1 Bath Available in Hazelwood!!
178,"214 Franklin Ave, Pittsburgh, PA 15221",House for Rent,NA,"$1,749","5 br, 3 bath House - 214 Franklin Ave"
179,"680 Florida Ave, Pittsburgh, PA 15228",Condo for Rent,NA,$775,"1 br, 1 bath  - Florida Avenue Apartments"
180,"729 S Negley Ave, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,275","1 br, 1 bath  - 729 South Negley Avenue 2"
181,"220 Heinz St, Pittsburgh, PA 15212",Condo for Rent,NA,"$1,750",220 Heinz St
182,"808 Portland St, Pittsburgh, PA 15206",Condo for Rent,NA,$775,"1 br, 1 bath  - 808 Portland St"
183,"1511 St Patrick St, Pittsburgh, PA 15210",Townhome for Rent,NA,$895,1511 St Patrick St
184,"353 Grace St, Pittsburgh, PA 15211",Condo for Rent,NA,$750,353 Grace St
185,"362 Semple St Unit 1, Pittsburgh, PA 15213",Condo for Rent,NA,$950,362 Semple St Unit 1
186,"375 Semple St, Pittsburgh, PA 15213",House for Rent,NA,"$2,450","5 br, 3 bath House - 375 Semple St"
187,"5552 Beacon St, Pittsburgh, PA 15217",House for Rent,NA,"$1,300",5552 Beacon St
188,"2660 S 18th St, Pittsburgh, PA 15210",Condo for Rent,NA,"$1,100","3 br, 1 bath Apartment - 2660 S 18th St"
189,"5720 Solway St, Pittsburgh, PA 15217",Condo for Rent,NA,"$2,450","3 br, 2 bath Apartment - 5720 Solway"
190,"1670 Breining St, Pittsburgh, PA 15234",Condo for Rent,NA,"$1,200","3 br, 1.5 bath Apartment - 1670 Breining St"
191,"130 S 22nd St, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,400",130 S 22nd St
192,"1815 Locust St Unit #2, Pittsburgh, PA 15219",2 Bed,NA,"$1,150",1815 Locust St Unit #2
193,"7123 Penn Ave Unit Apt. 2, Pittsburgh, PA 15208",2 Bed,NA,"$1,195",7123 Penn Ave Unit Apt. 2
194,"412 William St, Pittsburgh, PA 15211",Condo for Rent,NA,$800,"2 br, 1 bath Apartment - 412 William St"
195,"308 S Braddock Ave Unit 1, Pittsburgh, PA 15221",Condo for Rent,NA,"$1,200",308 S Braddock Ave Unit 1
196,"19 Edith Pl, Pittsburgh, PA 15213",Condo for Rent,NA,$420,"3 br, 1 bath Apartment - 19 Edith Pl"
197,"1324 Wightman St, Pittsburgh, PA 15217",House for Rent,NA,"$1,995","3 br, 1.5 bath House - 1324 Wightman St"
198,"1121 Sheffield St, Pittsburgh, PA 15233",House for Rent,NA,"$1,800","3 br, 2 bath House - 1121 Sheffield St"
199,"5524 Covode St, Pittsburgh, PA 15217",Condo for Rent,NA,"$1,195","2 br, 1 bath  - 5524 Covode St"
200,"3820 Brownsville Rd Unit 24, Pittsburgh, PA 15227",Condo for Rent,NA,$565,3820 Brownsville Rd Unit 24
201,"250 37th St, Pittsburgh, PA 15201",House for Rent,NA,$900,"3 br, 1 bath House - 250 37th St"
202,"3734 Orpwood St, Pittsburgh, PA 15213",Condo for Rent,NA,$400,3734 Orpwood St
203,"353 Grace St, Pittsburgh, PA 15211",Condo for Rent,NA,"$1,500",353 Grace St
204,"2359 Tilbury Ave, Pittsburgh, PA 15217",Townhome for Rent,NA,"$1,149","3 br, 1 bath Duplex - 2359 Tilbury Ave 2359"
205,"1615 Crosby Ave, Pittsburgh, PA 15216",House for Rent,NA,"$1,095","3 br, 1 bath House - 1615 Crosby Ave"
206,"6623 Ridgeville St, Pittsburgh, PA 15217",Townhome for Rent,NA,"$1,425",6623 Ridgeville St
207,"1130 Pennsbury Blvd, Pittsburgh, PA 15205",House for Rent,NA,"$1,250","2 br, 1 bath House - 1130 Pennsburry BLVD"
208,"5616 Callowhill St, Pittsburgh, PA 15206",Condo for Rent,NA,"$1,500",5616 Callowhill St
209,"702 Cascade Rd, Pittsburgh, PA 15221",House for Rent,NA,"$1,295","3 br, 1.5 bath House - 702 Cascade Rd"
210,"5931 Walnut St, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,575","1 br, 1 bath Apartment - 5931 Walnut St 101"
211,"5717 Howe St, Pittsburgh, PA 15232",Condo for Rent,NA,"$1,875","2 br, 1.5 bath Apartment - 5717 Howe St Apt 1 Unit Apt 1"
212,"5855 Darlington Rd, Pittsburgh, PA 15217",Condo for Rent,NA,"$1,025",5855 Darlington Rd
213,"311 Oakland Ave Unit 1, Pittsburgh, PA 15213",Condo for Rent,NA,"$1,495",311 Oakland Ave Unit 1
214,"827 S Braddock Ave, Pittsburgh, PA 15221",Condo for Rent,NA,"$1,495",827 S Braddock Ave
215,"1401 N St Clair St, Pittsburgh, PA 15206",Condo for Rent,NA,"$1,195",1401 N St Clair St
216,"2322 E Carson St, Pittsburgh, PA 15203",Condo for Rent,NA,"$1,350",2322 E Carson St
217,"3053 Brereton St Unit 2, Pittsburgh, PA 15219",Condo for Rent,NA,"$1,100",3053 Brereton St Unit 2
218,"100 Crofton Dr, Pittsburgh, PA 15238",House for Rent,NA,"$2,300",100 Crofton Dr
219,"3946 Winterburn Ave, Pittsburgh, PA 15207",House for Rent,NA,"$1,150",3946 Winterburn Ave
220,"4525 Friendship Ave, Pittsburgh, PA 15224",House for Rent,NA,"$1,249",4525 Friendship Ave
221,"918 Ivy St Unit #2, Pittsburgh, PA 15232",2 Bed,NA,"$1,150",918 Ivy St Unit #2
222,"5441 Potter St, Pittsburgh, PA 15232",House for Rent,NA,"$2,300",5441 Potter St
223,"729 N St Clair St Unit 3, Pittsburgh, PA 15206",1 Bed,NA,"$1,095",729 N St Clair St Unit 3
224,"120 Prospect St, Pittsburgh, PA 15211",3 Bed,NA,"$1,500",Stunning 3 Bed/2 Bathroom with Amazing Views! Unit B
